Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair,Smiling,Bangs,Heavy_Makeup,Wearing_Earrings,Wearing_Lipstick,Attractive,Young
000001.jpg,0,0,0,1,0,1,0,1,0,1,1,1,1,1
000002.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,1
000004.jpg,0,0,0,0,0,1,0,0,0,0,1,1,1,1
000005.jpg,0,0,0,0,0,0,0,0,0,1,0,1,1,1
000006.jpg,0,0,0,1,0,0,1,0,0,1,1,1,1,1
000009.jpg,0,0,0,0,0,0,0,1,1,1,1,1,1,1
000010.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000011.jpg,0,1,0,0,0,0,0,1,0,0,0,0,1,1
000014.jpg,0,1,0,0,0,0,0,1,0,1,0,1,0,1
000017.jpg,0,1,0,0,0,1,0,1,0,0,0,0,0,1
000018.jpg,0,0,1,0,0,0,1,1,0,1,1,1,0,0
000019.jpg,0,0,1,0,0,0,1,0,0,1,0,1,1,1
000022.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,1
000024.jpg,0,0,1,0,0,0,0,0,0,1,1,1,1,1
000026.jpg,0,0,0,0,0,1,0,0,0,0,0,1,1,1
000027.jpg,0,1,0,0,0,0,1,1,0,1,0,1,1,1
000028.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000029.jpg,0,0,1,0,0,0,1,1,1,1,1,1,1,1
000031.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,1
000034.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000035.jpg,0,1,0,0,0,0,1,0,0,1,0,1,1,1
000039.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000040.jpg,0,1,0,0,0,0,0,0,0,1,1,1,1,1
000042.jpg,0,0,0,1,0,0,0,1,0,1,1,1,1,1
000043.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000044.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,1
000045.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000046.jpg,0,1,0,0,0,0,1,1,1,1,0,1,1,1
000047.jpg,0,1,0,0,0,1,0,1,0,1,1,1,0,1
000054.jpg,0,0,1,0,0,0,1,1,0,1,0,1,1,1
000057.jpg,0,1,0,0,0,0,0,0,0,1,1,1,1,1
000058.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,1
000059.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,1
000062.jpg,0,0,0,0,0,0,0,1,1,1,0,1,1,1
000063.jpg,0,0,0,0,0,0,1,1,0,1,0,1,1,1
000066.jpg,0,0,0,0,0,0,0,1,1,0,1,1,1,0
000071.jpg,0,0,1,0,0,1,0,1,1,1,1,1,1,1
000073.jpg,0,1,0,1,0,0,1,0,0,1,0,1,1,1
000074.jpg,0,0,0,0,0,0,0,0,0,1,1,1,0,1
000075.jpg,0,0,0,1,0,0,0,0,0,1,0,1,0,1
000077.jpg,0,0,0,0,0,0,1,1,1,1,0,1,1,1
000078.jpg,0,1,0,0,0,0,0,0,0,1,0,1,0,1
000083.jpg,0,0,0,1,0,0,1,1,0,1,1,1,1,1
000084.jpg,0,0,0,0,0,0,1,0,0,0,1,1,0,0
000085.jpg,0,0,0,1,0,0,1,0,0,1,1,1,1,1
000086.jpg,0,0,0,0,0,0,0,0,0,0,0,1,1,1
000087.jpg,0,0,0,0,0,0,0,1,0,0,0,1,1,1
000088.jpg,0,0,0,1,0,0,1,0,0,1,0,1,1,1
000089.jpg,0,0,0,0,0,0,1,0,0,0,0,1,1,1
000092.jpg,0,0,1,0,0,0,0,1,0,1,0,1,1,1
000093.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0,1
000094.jpg,0,0,1,0,1,0,0,1,1,0,0,1,0,0
000095.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1
000096.jpg,0,0,0,0,0,0,1,0,0,0,0,1,1,1
000097.jpg,0,0,0,1,0,1,1,0,0,1,0,1,1,1
000098.jpg,0,1,0,0,0,0,1,0,0,1,0,1,1,1
000099.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000100.jpg,0,0,1,0,0,0,0,0,0,1,0,1,1,1
000101.jpg,0,1,0,0,0,0,0,0,0,0,0,1,1,1
000103.jpg,0,0,0,1,0,0,0,0,0,1,0,1,1,1
000106.jpg,0,0,0,0,0,0,0,1,0,1,1,1,1,1
000107.jpg,0,0,0,1,0,0,1,1,0,1,0,1,1,1
000108.jpg,0,0,1,0,0,0,1,1,0,1,1,1,1,1
