rating,title,release_date,genres,age,gender,occupation
3,Kolya (1996),1997-01-24,Comedy,49,Male,writer
3,L.A. Confidential (1997),1997-01-01,"Crime,Film-Noir,Mystery,Thriller",39,Female,executive
1,Heavyweights (1994),1994-01-01,"Children,Comedy",25,Male,writer
2,Legends of the Fall (1994),1994-01-01,"Drama,Romance,War,Western",28,Male,technician
1,Jackie Brown (1997),1997-01-01,"Crime,Drama",47,Male,educator
4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1963-01-01,"Sci-Fi,War",44,Male,executive
2,"Hunt for Red October, The (1990)",1990-01-01,"Action,Thriller",31,Male,engineer
5,"Jungle Book, The (1994)",1994-01-01,"Adventure,Children,Romance",26,Female,librarian
3,Grease (1978),1978-01-01,"Comedy,Musical,Romance",23,Male,programmer
3,"Remains of the Day, The (1993)",1993-01-01,Drama,42,Male,executive
2,Men in Black (1997),1997-07-04,"Action,Adventure,Comedy,Sci-Fi",27,Female,administrator
5,Romy and Michele's High School Reunion (1997),1997-04-25,Comedy,27,Male,student
5,Star Trek: First Contact (1996),1996-11-22,"Action,Adventure,Sci-Fi",40,Male,programmer
3,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,Comedy,39,Male,engineer
3,Batman Forever (1995),1995-01-01,"Action,Adventure,Comedy,Crime",31,Female,educator
3,Only You (1994),1994-01-01,"Comedy,Romance",19,Male,student
5,"Age of Innocence, The (1993)",1993-01-01,Drama,32,Female,writer
2,Sabrina (1995),1995-01-01,"Comedy,Romance",38,Male,administrator
4,Just Cause (1995),1995-01-01,"Mystery,Thriller",19,Male,student
2,"Endless Summer 2, The (1994)",1994-01-01,Documentary,60,Male,retired
4,"Man Without a Face, The (1993)",1993-01-01,Drama,32,Male,programmer
4,Sabrina (1954),1954-01-01,"Comedy,Romance",37,Male,other
4,Die Hard (1988),1988-01-01,"Action,Thriller",29,Male,doctor
2,Twister (1996),1996-05-10,"Action,Adventure,Thriller",19,Male,student
4,Toy Story (1995),1995-01-01,"Animation,Children,Comedy",60,Male,retired
2,Broken Arrow (1996),1996-02-09,"Action,Thriller",31,Male,administrator
5,Aladdin (1992),1992-01-01,"Animation,Children,Comedy,Musical",28,Female,other
2,Casper (1995),1995-01-01,"Adventure,Children",38,Male,programmer
4,Restoration (1995),1995-01-01,Drama,31,Male,marketing
5,Jaws (1975),1975-01-01,"Action,Horror",27,Male,programmer
3,Chasing Amy (1997),1997-01-01,"Drama,Romance",21,Male,writer
4,"Silence of the Lambs, The (1991)",1991-01-01,"Drama,Thriller",24,Male,student
4,"Right Stuff, The (1983)",1983-01-01,Drama,51,Female,administrator
4,Sleepless in Seattle (1993),1993-01-01,"Comedy,Romance",40,Male,engineer
3,"Sting, The (1973)",1973-01-01,"Comedy,Crime",43,Male,artist
4,Sabrina (1995),1995-01-01,"Comedy,Romance",57,Male,engineer
1,Curdled (1996),1996-09-27,Crime,26,Male,executive
5,Rear Window (1954),1954-01-01,"Mystery,Thriller",37,Female,librarian
1,Speechless (1994),1994-01-01,"Comedy,Romance",21,Male,student
4,Crumb (1994),1994-01-01,Documentary,57,Male,administrator
4,French Twist (Gazon maudit) (1995),1995-01-01,"Comedy,Romance",53,Male,lawyer
4,Fly Away Home (1996),1996-09-13,"Adventure,Children",40,Male,executive
2,"Trigger Effect, The (1996)",1996-08-30,"Drama,Thriller",27,Male,writer
3,Tales from the Hood (1995),1995-01-01,"Comedy,Horror",21,Male,student
5,Cop Land (1997),1997-01-01,"Crime,Drama,Mystery",21,Male,salesman
5,Evil Dead II (1987),1987-01-01,"Action,Adventure,Comedy,Horror",19,Male,student
5,Beautiful Thing (1996),1996-10-09,"Drama,Romance",33,Male,educator
5,"Last of the Mohicans, The (1992)",1992-01-01,"Action,Romance,War",25,Male,student
5,Get Shorty (1995),1995-01-01,"Action,Comedy,Drama",20,Male,student
3,Kiss the Girls (1997),1997-01-01,"Crime,Drama,Thriller",26,Male,other
4,Fargo (1996),1997-02-14,"Crime,Drama,Thriller",28,Male,doctor
2,Fantasia (1940),1940-01-01,"Animation,Children,Musical",21,Male,student
4,Murder at 1600 (1997),1997-04-18,"Mystery,Thriller",40,Female,artist
5,Return of the Jedi (1983),1997-03-14,"Action,Adventure,Romance,Sci-Fi,War",39,Male,engineer
5,Dead Poets Society (1989),1989-01-01,Drama,49,Male,educator
2,Conan the Barbarian (1981),1981-01-01,"Action,Adventure",48,Female,administrator
4,Naked Gun 33 1/3: The Final Insult (1994),1994-01-01,Comedy,47,Male,administrator
5,"Sound of Music, The (1965)",1965-01-01,Musical,40,Male,engineer
5,E.T. the Extra-Terrestrial (1982),1982-01-01,"Children,Drama,Fantasy,Sci-Fi",30,Male,administrator
4,"Boot, Das (1981)",1997-04-04,"Action,Drama,War",35,Female,programmer
