Full Association Rules (all consequents)
                                                                                                  antecedents                                                                                              consequents   support  confidence      lift
0                                                                          (fixed acidity_fixed acidity_high)                                                                  (volatile acidity_volatile acidity_low)  0.158224    0.473783  1.479646
1                                                                     (volatile acidity_volatile acidity_low)                                                                       (fixed acidity_fixed acidity_high)  0.158224    0.494141  1.479646
2                                                                          (fixed acidity_fixed acidity_high)                                                               (volatile acidity_volatile acidity_medium)  0.108818    0.325843  0.972057
3                                                                  (volatile acidity_volatile acidity_medium)                                                                       (fixed acidity_fixed acidity_high)  0.108818    0.324627  0.972057
4                                                                          (fixed acidity_fixed acidity_high)                                                                           (citric acid_citric acid_high)  0.235772    0.705993  2.117978
5                                                                              (citric acid_citric acid_high)                                                                       (fixed acidity_fixed acidity_high)  0.235772    0.707317  2.117978
6                                                                          (fixed acidity_fixed acidity_high)                                                                     (residual sugar_residual sugar_high)  0.172608    0.516854  1.366032
7                                                                        (residual sugar_residual sugar_high)                                                                       (fixed acidity_fixed acidity_high)  0.172608    0.456198  1.366032
8                                                                          (fixed acidity_fixed acidity_high)                                                                               (chlorides_chlorides_high)  0.151970    0.455056  1.311054
9                                                                                  (chlorides_chlorides_high)                                                                       (fixed acidity_fixed acidity_high)  0.151970    0.437838  1.311054
10                                                                         (fixed acidity_fixed acidity_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.101313    0.303371  0.875614
11                                                                         (fixed acidity_fixed acidity_high)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.142589    0.426966  1.297945
12                                                              (free sulfur dioxide_free sulfur dioxide_low)                                                                       (fixed acidity_fixed acidity_high)  0.142589    0.433460  1.297945
13                                                                         (fixed acidity_fixed acidity_high)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.134459    0.402622  1.262338
14                                                            (total sulfur dioxide_total sulfur dioxide_low)                                                                       (fixed acidity_fixed acidity_high)  0.134459    0.421569  1.262338
15                                                                         (fixed acidity_fixed acidity_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.104440    0.312734  0.902639
16                                                         (total sulfur dioxide_total sulfur dioxide_medium)                                                                       (fixed acidity_fixed acidity_high)  0.104440    0.301444  0.902639
17                                                                         (fixed acidity_fixed acidity_high)                                                                                   (density_density_high)  0.223890    0.670412  1.977839
18                                                                                     (density_density_high)                                                                       (fixed acidity_fixed acidity_high)  0.223890    0.660517  1.977839
19                                                                         (fixed acidity_fixed acidity_high)                                                                                              (pH_pH_low)  0.217636    0.651685  1.988635
20                                                                                                (pH_pH_low)                                                                       (fixed acidity_fixed acidity_high)  0.217636    0.664122  1.988635
21                                                                         (fixed acidity_fixed acidity_high)                                                                               (sulphates_sulphates_high)  0.155097    0.464419  1.333226
22                                                                                 (sulphates_sulphates_high)                                                                       (fixed acidity_fixed acidity_high)  0.155097    0.445242  1.333226
23                                                                         (fixed acidity_fixed acidity_high)                                                                             (sulphates_sulphates_medium)  0.113821    0.340824  0.969711
24                                                                               (sulphates_sulphates_medium)                                                                       (fixed acidity_fixed acidity_high)  0.113821    0.323843  0.969711
25                                                                         (fixed acidity_fixed acidity_high)                                                                                   (alcohol_alcohol_high)  0.123202    0.368914  1.057156
26                                                                                     (alcohol_alcohol_high)                                                                       (fixed acidity_fixed acidity_high)  0.123202    0.353047  1.057156
27                                                                         (fixed acidity_fixed acidity_high)                                                                                 (alcohol_alcohol_medium)  0.118824    0.355805  1.047758
28                                                                                   (alcohol_alcohol_medium)                                                                       (fixed acidity_fixed acidity_high)  0.118824    0.349908  1.047758
29                                                                         (fixed acidity_fixed acidity_high)                                                                                              (quality_5)  0.122577    0.367041  0.861819
30                                                                         (fixed acidity_fixed acidity_high)                                                                                              (quality_6)  0.135084    0.404494  1.013772
31                                                                                                (quality_6)                                                                       (fixed acidity_fixed acidity_high)  0.135084    0.338558  1.013772
32                                                                          (fixed acidity_fixed acidity_low)                                                                 (volatile acidity_volatile acidity_high)  0.145091    0.437736  1.270308
33                                                                   (volatile acidity_volatile acidity_high)                                                                        (fixed acidity_fixed acidity_low)  0.145091    0.421053  1.270308
34                                                                          (fixed acidity_fixed acidity_low)                                                               (volatile acidity_volatile acidity_medium)  0.117573    0.354717  1.058195
35                                                                 (volatile acidity_volatile acidity_medium)                                                                        (fixed acidity_fixed acidity_low)  0.117573    0.350746  1.058195
36                                                                          (fixed acidity_fixed acidity_low)                                                                            (citric acid_citric acid_low)  0.203877    0.615094  1.895059
37                                                                              (citric acid_citric acid_low)                                                                        (fixed acidity_fixed acidity_low)  0.203877    0.628131  1.895059
38                                                                          (fixed acidity_fixed acidity_low)                                                                         (citric acid_citric acid_medium)  0.103815    0.313208  0.915574
39                                                                           (citric acid_citric acid_medium)                                                                        (fixed acidity_fixed acidity_low)  0.103815    0.303473  0.915574
40                                                                          (fixed acidity_fixed acidity_low)                                                                      (residual sugar_residual sugar_low)  0.114447    0.345283  1.189887
41                                                                        (residual sugar_residual sugar_low)                                                                        (fixed acidity_fixed acidity_low)  0.114447    0.394397  1.189887
42                                                                     (residual sugar_residual sugar_medium)                                                                        (fixed acidity_fixed acidity_low)  0.123202    0.371698  1.121406
43                                                                          (fixed acidity_fixed acidity_low)                                                                   (residual sugar_residual sugar_medium)  0.123202    0.371698  1.121406
44                                                                          (fixed acidity_fixed acidity_low)                                                                                (chlorides_chlorides_low)  0.150094    0.452830  1.403247
45                                                                                  (chlorides_chlorides_low)                                                                        (fixed acidity_fixed acidity_low)  0.150094    0.465116  1.403247
46                                                                          (fixed acidity_fixed acidity_low)                                                                             (chlorides_chlorides_medium)  0.111945    0.337736  1.022802
47                                                                               (chlorides_chlorides_medium)                                                                        (fixed acidity_fixed acidity_low)  0.111945    0.339015  1.022802
48                                                                          (fixed acidity_fixed acidity_low)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.128205    0.386792  1.116392
49                                                             (free sulfur dioxide_free sulfur dioxide_high)                                                                        (fixed acidity_fixed acidity_low)  0.128205    0.370036  1.116392
50                                                                          (fixed acidity_fixed acidity_low)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.116948    0.352830  1.087043
51                                                           (free sulfur dioxide_free sulfur dioxide_medium)                                                                        (fixed acidity_fixed acidity_low)  0.116948    0.360308  1.087043
52                                                                          (fixed acidity_fixed acidity_low)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.109443    0.330189  0.986863
53                                                           (total sulfur dioxide_total sulfur dioxide_high)                                                                        (fixed acidity_fixed acidity_low)  0.109443    0.327103  0.986863
54                                                                          (fixed acidity_fixed acidity_low)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.126954    0.383019  1.105500
55                                                         (total sulfur dioxide_total sulfur dioxide_medium)                                                                        (fixed acidity_fixed acidity_low)  0.126954    0.366426  1.105500
56                                                                                      (density_density_low)                                                                        (fixed acidity_fixed acidity_low)  0.198249    0.596987  1.801098
57                                                                          (fixed acidity_fixed acidity_low)                                                                                    (density_density_low)  0.198249    0.598113  1.801098
58                                                                          (fixed acidity_fixed acidity_low)                                                                                             (pH_pH_high)  0.233271    0.703774  2.020348
59                                                                                               (pH_pH_high)                                                                        (fixed acidity_fixed acidity_low)  0.233271    0.669659  2.020348
60                                                                          (fixed acidity_fixed acidity_low)                                                                                (sulphates_sulphates_low)  0.115697    0.349057  1.162795
61                                                                                  (sulphates_sulphates_low)                                                                        (fixed acidity_fixed acidity_low)  0.115697    0.385417  1.162795
62                                                                          (fixed acidity_fixed acidity_low)                                                                             (sulphates_sulphates_medium)  0.126954    0.383019  1.089764
63                                                                               (sulphates_sulphates_medium)                                                                        (fixed acidity_fixed acidity_low)  0.126954    0.361210  1.089764
64                                                                          (fixed acidity_fixed acidity_low)                                                                                   (alcohol_alcohol_high)  0.135084    0.407547  1.167864
65                                                                                     (alcohol_alcohol_high)                                                                        (fixed acidity_fixed acidity_low)  0.135084    0.387097  1.167864
66                                                                                   (alcohol_alcohol_medium)                                                                        (fixed acidity_fixed acidity_low)  0.117573    0.346225  1.044553
67                                                                          (fixed acidity_fixed acidity_low)                                                                                 (alcohol_alcohol_medium)  0.117573    0.354717  1.044553
68                                                                          (fixed acidity_fixed acidity_low)                                                                                              (quality_5)  0.141964    0.428302  1.005660
69                                                                                                (quality_5)                                                                        (fixed acidity_fixed acidity_low)  0.141964    0.333333  1.005660
70                                                                          (fixed acidity_fixed acidity_low)                                                                                              (quality_6)  0.138837    0.418868  1.049796
71                                                                                                (quality_6)                                                                        (fixed acidity_fixed acidity_low)  0.138837    0.347962  1.049796
72                                                                       (fixed acidity_fixed acidity_medium)                                                                 (volatile acidity_volatile acidity_high)  0.132583    0.396262  1.149950
73                                                                   (volatile acidity_volatile acidity_high)                                                                     (fixed acidity_fixed acidity_medium)  0.132583    0.384755  1.149950
74                                                                       (fixed acidity_fixed acidity_medium)                                                               (volatile acidity_volatile acidity_medium)  0.108818    0.325234  0.970240
75                                                                 (volatile acidity_volatile acidity_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.108818    0.324627  0.970240
76                                                                       (fixed acidity_fixed acidity_medium)                                                                            (citric acid_citric acid_low)  0.103815    0.310280  0.955951
77                                                                              (citric acid_citric acid_low)                                                                     (fixed acidity_fixed acidity_medium)  0.103815    0.319846  0.955951
78                                                                       (fixed acidity_fixed acidity_medium)                                                                         (citric acid_citric acid_medium)  0.156973    0.469159  1.371453
79                                                                           (citric acid_citric acid_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.156973    0.458867  1.371453
80                                                                       (fixed acidity_fixed acidity_medium)                                                                     (residual sugar_residual sugar_high)  0.111945    0.334579  0.884285
81                                                                       (fixed acidity_fixed acidity_medium)                                                                      (residual sugar_residual sugar_low)  0.112570    0.336449  1.159442
82                                                                        (residual sugar_residual sugar_low)                                                                     (fixed acidity_fixed acidity_medium)  0.112570    0.387931  1.159442
83                                                                       (fixed acidity_fixed acidity_medium)                                                                   (residual sugar_residual sugar_medium)  0.110069    0.328972  0.992502
84                                                                     (residual sugar_residual sugar_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.110069    0.332075  0.992502
85                                                                       (fixed acidity_fixed acidity_medium)                                                                               (chlorides_chlorides_high)  0.125704    0.375701  1.082425
86                                                                                 (chlorides_chlorides_high)                                                                     (fixed acidity_fixed acidity_medium)  0.125704    0.362162  1.082425
87                                                                       (fixed acidity_fixed acidity_medium)                                                                             (chlorides_chlorides_medium)  0.123202    0.368224  1.115134
88                                                                               (chlorides_chlorides_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.123202    0.373106  1.115134
89                                                                       (fixed acidity_fixed acidity_medium)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.116948    0.349533  1.008850
90                                                             (free sulfur dioxide_free sulfur dioxide_high)                                                                     (fixed acidity_fixed acidity_medium)  0.116948    0.337545  1.008850
91                                                              (free sulfur dioxide_free sulfur dioxide_low)                                                                     (fixed acidity_fixed acidity_medium)  0.100063    0.304183  0.909136
